NFHS_District,lower_name,GeoJSON_District,_merge
Sultanpur ,sultanpur,Sultanpur,both
Sundargarh ,sundargarh,Sundargarh,both
Supaul ,supaul,Supaul,both
Surajpur ,surajpur,,left_only
Surat ,surat,Surat,both
Surendranagar ,surendranagar,Surendranagar,both
Surguja ,surguja,Surguja,both
Suryapet ,suryapet,,left_only
Tamenglong ,tamenglong,Tamenglong,both
Tapi ,tapi,,left_only
Tarn Taran ,tarn taran,,left_only
Tawang ,tawang,Tawang,both
Tehri Garhwal ,tehri garhwal,Tehri Garhwal,both
Thane ,thane,Thane,both
Thanjavur ,thanjavur,Thanjavur,both
The Dangs ,the dangs,The Dangs,both
The Nilgiris ,the nilgiris,,left_only
Theni ,theni,Theni,both
Thiruvallur ,thiruvallur,Thiruvallur,both
Thiruvananthapuram ,thiruvananthapuram,Thiruvananthapuram,both
Thiruvarur ,thiruvarur,Thiruvarur,both
Thoothukkudi ,thoothukkudi,,left_only
,thoothukudi,Thoothukudi,right_only
Thoubal ,thoubal,Thoubal,both
Thrissur ,thrissur,Thrissur,both
Tikamgarh ,tikamgarh,Tikamgarh,both
Tinsukia ,tinsukia,Tinsukia,both
Tirap ,tirap,Tirap,both
,tiruchchirappalli,Tiruchchirappalli,right_only
Tiruchirappalli ,tiruchirappalli,,left_only
Tirunelveli ,tirunelveli,,left_only
,tirunelveli kattabo,Tirunelveli Kattabo,right_only
Tiruppur ,tiruppur,,left_only
Tiruvannamalai ,tiruvannamalai,Tiruvannamalai,both
Tonk ,tonk,Tonk,both
Tuensang ,tuensang,Tuensang,both
Tumkur ,tumkur,Tumkur,both
Udaipur ,udaipur,Udaipur,both
Udalguri ,udalguri,,left_only
Udham Singh Nagar ,udham singh nagar,Udham Singh Nagar,both
Udhampur ,udhampur,Udhampur,both
Udupi ,udupi,Udupi,both
Ujjain ,ujjain,Ujjain,both
Ukhrul ,ukhrul,Ukhrul,both
Umaria ,umaria,Umaria,both
Una ,una,Una,both
Unakoti ,unakoti,,left_only
Unnao ,unnao,Unnao,both
,upper dibang valley,Upper Dibang Valley,right_only
Upper Siang ,upper siang,Upper Siang,both
Upper Subansiri ,upper subansiri,Upper Subansiri,both
Uttar Bastar Kanker ,uttar bastar kanker,,left_only
Uttar Dinajpur ,uttar dinajpur,Uttar Dinajpur,both
,uttar kannand,Uttar Kannand,right_only
Uttara Kannada ,uttara kannada,,left_only
Uttarkashi ,uttarkashi,Uttarkashi,both
Vadodara ,vadodara,Vadodara,both
Vaishali ,vaishali,Vaishali,both
Valsad ,valsad,Valsad,both
Varanasi ,varanasi,Varanasi,both
Vellore ,vellore,Vellore,both
Vidisha ,vidisha,Vidisha,both
Vikarabad ,vikarabad,,left_only
,villupuram,Villupuram,right_only
Viluppuram ,viluppuram,,left_only
Virudhunagar ,virudhunagar,Virudhunagar,both
Visakhapatnam ,visakhapatnam,,left_only
,vishakhapatnam,Vishakhapatnam,right_only
Vizianagaram ,vizianagaram,Vizianagaram,both
Wanaparthy ,wanaparthy,,left_only
,warangal,Warangal,right_only
Warangal Rural ,warangal rural,,left_only
Warangal Urban ,warangal urban,,left_only
Wardha ,wardha,Wardha,both
Washim ,washim,Washim,both
Wayanad ,wayanad,Wayanad,both
West ,west,,left_only
West District ,west district,,left_only
West Garo Hills ,west garo hills,West Garo Hills,both
West Godavari ,west godavari,West Godavari,both
,west imphal,West Imphal,right_only
West Jaintia Hills ,west jaintia hills,,left_only
West Kameng ,west kameng,West Kameng,both
West Karbi Anglong ,west karbi anglong,,left_only
West Khasi Hills ,west khasi hills,West Khasi Hills,both
,west midnapore,West Midnapore,right_only
,west nimar,West Nimar,right_only
West Siang ,west siang,West Siang,both
,west sikkim,West Sikkim,right_only
West Tripura ,west tripura,West Tripura,both
Wokha ,wokha,Wokha,both
Y.S.R. ,y.s.r.,,left_only
Yadadri Bhuvanagiri ,yadadri bhuvanagiri,,left_only
Yadgir ,yadgir,,left_only
,yamuna nagar,Yamuna Nagar,right_only
Yamunanagar ,yamunanagar,,left_only
Yanam ,yanam,Yanam,both
Yavatmal ,yavatmal,Yavatmal,both
Zunheboto ,zunheboto,Zunheboto,both
