NFHS_District,lower_name,GeoJSON_District,_merge
Datia ,datia,Datia,both
Dausa ,dausa,Dausa,both
Davanagere ,davanagere,Davanagere,both
Debagarh ,debagarh,,left_only
,dehra dun,Dehra Dun,right_only
Dehradun ,dehradun,,left_only
,delhi,Delhi,right_only
,deogarh,Deogarh,right_only
Deoghar ,deoghar,Deoghar,both
Deoria ,deoria,Deoria,both
Devbhumi Dwarka ,devbhumi dwarka,,left_only
Dewas ,dewas,Dewas,both
Dhalai ,dhalai,Dhalai,both
Dhamtari ,dhamtari,Dhamtari,both
Dhanbad ,dhanbad,Dhanbad,both
Dhar ,dhar,Dhar,both
Dharmapuri ,dharmapuri,Dharmapuri,both
Dharwad ,dharwad,Dharwad,both
Dhaulpur ,dhaulpur,Dhaulpur,both
Dhemaji ,dhemaji,Dhemaji,both
Dhenkanal ,dhenkanal,Dhenkanal,both
Dhubri ,dhubri,,left_only
,dhuburi,Dhuburi,right_only
Dhule ,dhule,Dhule,both
Dibang Valley ,dibang valley,,left_only
Dibrugarh ,dibrugarh,Dibrugarh,both
Dima Hasao ,dima hasao,,left_only
Dimapur ,dimapur,Dimapur,both
Dindigul ,dindigul,Dindigul,both
Dindori ,dindori,Dindori,both
Diu ,diu,,left_only
Doda ,doda,Doda,both
Dohad ,dohad,,left_only
Dumka ,dumka,Dumka,both
Dungarpur ,dungarpur,Dungarpur,both
Durg ,durg,Durg,both
East ,east,East,both
East District ,east district,,left_only
East Garo Hills ,east garo hills,East Garo Hills,both
East Godavari ,east godavari,East Godavari,both
,east imphal,East Imphal,right_only
East Jantia Hills ,east jantia hills,,left_only
East Kameng ,east kameng,East Kameng,both
East Khasi Hills ,east khasi hills,East Khasi Hills,both
,east midnapore,East Midnapore,right_only
,east nimar,East Nimar,right_only
East Siang ,east siang,East Siang,both
Ernakulam ,ernakulam,Ernakulam,both
Erode ,erode,Erode,both
Etah ,etah,Etah,both
Etawah ,etawah,Etawah,both
Faizabad ,faizabad,Faizabad,both
Faridabad ,faridabad,Faridabad,both
Faridkot ,faridkot,Faridkot,both
Farrukhabad ,farrukhabad,Farrukhabad,both
Fatehabad ,fatehabad,Fatehabad,both
Fatehgarh Sahib ,fatehgarh sahib,Fatehgarh Sahib,both
Fatehpur ,fatehpur,Fatehpur,both
Fazilka ,fazilka,,left_only
Firozabad ,firozabad,Firozabad,both
Firozpur ,firozpur,Firozpur,both
Gadag ,gadag,Gadag,both
Gadchiroli ,gadchiroli,,left_only
Gajapati ,gajapati,Gajapati,both
Ganderbal ,ganderbal,,left_only
Gandhinagar ,gandhinagar,Gandhinagar,both
Ganganagar ,ganganagar,Ganganagar,both
Ganjam ,ganjam,Ganjam,both
,garhchiroli,Garhchiroli,right_only
Garhwa ,garhwa,Garhwa,both
Garhwal ,garhwal,,left_only
Gariyaband ,gariyaband,,left_only
Gautam Buddha Nagar ,gautam buddha nagar,Gautam Buddha Nagar,both
Gaya ,gaya,Gaya,both
Ghaziabad ,ghaziabad,Ghaziabad,both
Ghazipur ,ghazipur,Ghazipur,both
Gir Somnath ,gir somnath,,left_only
Giridih ,giridih,Giridih,both
Goalpara ,goalpara,Goalpara,both
Godda ,godda,Godda,both
Golaghat ,golaghat,Golaghat,both
Gomati ,gomati,,left_only
Gonda ,gonda,Gonda,both
Gondiya ,gondiya,Gondiya,both
Gopalganj ,gopalganj,Gopalganj,both
Gorakhpur ,gorakhpur,Gorakhpur,both
,greater bombay,Greater Bombay,right_only
Gulbarga ,gulbarga,Gulbarga,both
Gumla ,gumla,Gumla,both
Guna ,guna,Guna,both
Guntur ,guntur,Guntur,both
Gurdaspur ,gurdaspur,Gurdaspur,both
Gurgaon ,gurgaon,Gurgaon,both
Gwalior ,gwalior,Gwalior,both
Hailakandi ,hailakandi,Hailakandi,both
Hamirpur ,hamirpur,Hamirpur,both
Hanumangarh ,hanumangarh,Hanumangarh,both
Haora ,haora,Haora,both
Hapur ,hapur,,left_only
Harda ,harda,Harda,both
Hardoi ,hardoi,Hardoi,both
Hardwar ,hardwar,,left_only
,haridwar,Haridwar,right_only
Hassan ,hassan,Hassan,both
,hathras,Hathras,right_only
Haveri ,haveri,Haveri,both
,hazaribag,Hazaribag,right_only
Hazaribagh ,hazaribagh,,left_only
Hingoli ,hingoli,Hingoli,both
Hisar ,hisar,Hisar,both
Hojai ,hojai,,left_only
Hoshangabad ,hoshangabad,Hoshangabad,both
Hoshiarpur ,hoshiarpur,Hoshiarpur,both
Hugli ,hugli,Hugli,both
Hyderabad ,hyderabad,Hyderabad,both
Idukki ,idukki,Idukki,both
Imphal East ,imphal east,,left_only
Imphal West ,imphal west,,left_only
Indore ,indore,Indore,both
Jabalpur ,jabalpur,Jabalpur,both
Jagatsinghapur ,jagatsinghapur,,left_only
,jagatsinghpur,Jagatsinghpur,right_only
